Density,Waiting Time,Frequency
0.8585858585858587,1,104
0.8585858585858587,2,14
0.8585858585858587,3,11
0.8585858585858587,4,7
0.8585858585858587,5,4
0.8585858585858587,6,3
0.8585858585858587,7,4
0.8585858585858587,8,4
0.8585858585858587,9,5
0.8585858585858587,10,3
0.8585858585858587,11,2
0.8585858585858587,12,3
0.8585858585858587,13,2
0.8585858585858587,14,1
0.8585858585858587,16,2
0.8585858585858587,17,1
0.8585858585858587,18,3
0.8585858585858587,21,1
0.8585858585858587,22,1
0.8585858585858587,23,1
0.8585858585858587,24,1
0.8585858585858587,25,1
0.8585858585858587,26,1
0.8585858585858587,68,5
0.8585858585858587,69,1
0.8585858585858587,70,1
0.8585858585858587,71,2
0.8585858585858587,72,3
0.8585858585858587,73,4
0.8585858585858587,74,5
0.8585858585858587,75,8
0.8585858585858587,76,7
0.8585858585858587,77,14
0.8585858585858587,78,20
0.8585858585858587,79,24
0.8585858585858587,80,17
0.8585858585858587,81,28
0.8585858585858587,82,27
0.8585858585858587,83,38
0.8585858585858587,84,30
0.8585858585858587,85,37
0.8585858585858587,86,42
0.8585858585858587,87,49
0.8585858585858587,88,43
0.8585858585858587,89,39
0.8585858585858587,90,43
0.8585858585858587,91,45
0.8585858585858587,92,40
0.8585858585858587,93,36
0.8585858585858587,94,44
0.8585858585858587,95,34
0.8585858585858587,96,27
0.8585858585858587,97,27
0.8585858585858587,98,29
0.8585858585858587,99,25
0.8585858585858587,100,27
