Timestep,Throughput
1,1
2,1
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,5
25,5
26,5
27,5
28,6
29,6
30,6
31,7
32,7
33,7
34,7
35,8
36,8
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,12
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,13
78,13
79,13
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,13
88,13
89,13
90,13
91,13
92,14
93,14
94,14
95,14
96,14
97,14
98,14
99,14
100,14
101,14
102,14
103,14
104,14
105,14
106,14
107,14
108,14
109,14
110,14
111,14
112,14
113,14
114,14
115,14
116,14
117,14
118,16
119,19
120,19
121,19
122,19
123,19
124,19
125,19
126,19
127,19
128,21
129,21
130,21
131,21
132,21
133,21
134,21
135,21
136,22
137,22
138,23
139,23
140,23
141,23
142,23
143,23
144,23
145,23
146,23
147,24
148,25
149,25
150,25
151,25
152,25
153,25
154,25
155,25
156,25
157,25
158,25
159,25
160,26
161,28
162,28
163,28
164,28
165,28
166,28
167,28
168,28
169,28
170,28
171,28
172,28
173,28
174,28
175,28
176,28
177,28
178,28
179,28
180,28
181,28
182,28
183,28
184,28
185,28
186,28
187,28
188,28
189,28
190,28
191,28
192,28
193,28
194,28
195,28
196,28
197,28
198,28
199,28
200,28
201,28
202,28
203,28
204,28
205,28
206,28
207,28
208,28
209,28
210,28
211,28
212,28
213,28
214,28
215,28
216,28
217,28
218,28
219,28
220,28
221,28
222,28
223,28
224,28
225,28
226,28
227,28
228,28
229,28
230,28
231,28
232,28
233,28
234,28
235,28
236,28
237,28
238,28
239,28
240,28
241,28
242,28
243,28
244,28
245,28
246,28
247,28
248,28
249,28
250,28
251,28
252,28
253,28
254,28
255,28
256,28
257,28
258,29
259,29
260,29
261,29
262,29
263,29
264,29
265,29
266,29
267,29
268,29
269,29
270,29
271,29
272,29
273,29
274,29
275,29
276,29
277,29
278,29
279,29
280,29
281,29
282,29
283,29
284,29
285,29
286,29
287,29
288,29
289,29
290,29
291,29
292,29
293,29
294,29
295,29
296,29
297,29
298,29
299,29
300,29
301,29
302,29
303,29
304,29
305,29
306,29
307,29
308,29
309,29
310,29
311,29
312,29
313,30
314,30
315,30
316,30
317,30
318,30
319,30
320,30
321,30
322,30
323,30
324,30
325,30
326,30
327,30
328,30
329,30
330,30
331,30
332,30
333,30
334,30
335,30
336,30
337,30
338,30
339,30
340,30
341,30
342,30
343,30
344,30
345,30
346,30
347,30
348,30
349,30
350,30
351,30
352,30
353,30
354,30
355,30
356,30
357,30
358,30
359,30
360,30
361,30
362,30
363,30
364,30
365,30
366,30
367,30
368,30
369,30
370,30
371,30
372,30
373,30
374,30
375,30
376,30
377,30
378,30
379,30
380,30
381,30
382,30
383,30
384,30
385,30
386,30
387,30
388,30
389,30
390,30
391,30
392,30
393,30
394,30
395,30
396,30
397,30
398,30
399,30
400,30
401,30
402,30
403,30
404,30
405,30
406,30
407,30
408,30
409,30
410,30
411,30
412,30
413,30
414,30
415,30
416,30
417,30
418,30
419,30
420,30
421,30
422,30
423,30
424,30
425,30
426,30
427,30
428,30
429,30
430,30
431,30
432,30
433,30
434,30
435,30
436,30
437,30
438,30
439,30
440,30
441,30
442,30
443,30
444,30
445,30
446,30
447,30
448,30
449,30
450,30
451,30
452,30
453,30
454,30
455,30
456,30
457,30
458,30
459,30
460,30
461,30
462,30
463,30
464,30
465,30
466,30
467,30
468,30
469,30
470,30
471,30
472,30
473,30
474,30
475,30
476,30
477,30
478,30
479,30
480,30
481,30
482,30
483,30
484,30
485,30
486,30
487,30
488,30
489,30
490,30
491,30
492,30
493,30
494,30
495,30
496,30
497,30
498,30
499,30
500,30
501,30
502,30
503,30
504,30
505,30
506,30
507,30
508,30
509,30
510,30
511,30
512,30
513,30
514,30
515,30
516,30
517,30
518,30
519,30
520,30
521,30
522,30
523,30
524,30
525,30
526,30
527,30
528,30
529,30
530,30
531,30
532,30
533,30
534,30
535,30
536,30
537,30
538,30
539,30
540,30
541,30
542,30
543,30
544,30
545,30
546,30
547,30
548,30
549,30
550,30
551,30
552,30
553,30
554,30
555,30
556,30
557,30
558,30
559,30
560,30
561,30
562,30
563,30
564,30
565,30
566,30
567,30
568,30
569,30
570,30
571,30
572,30
573,30
574,30
575,30
576,30
577,30
578,30
579,30
580,30
581,30
582,30
583,30
584,30
585,30
586,30
587,30
588,30
589,30
590,30
591,30
592,30
593,30
594,30
595,30
596,30
597,30
598,30
599,30
600,30
