Timestep,Road_number,Vehicle_density,Vehicles_Exiting
1,1,0.0,0
1,2,0.0,0
1,3,0.0,0
1,4,0.0,0
1,5,0.0,0
1,6,0.0,0
1,7,0.0,0
2,1,0.02,0
2,2,0.02,0
2,3,0.02,0
2,4,0.0,0
2,5,0.0,0
2,6,0.0,0
2,7,0.0,0
3,1,0.04,0
3,2,0.04,0
3,3,0.04,0
3,4,0.0,0
3,5,0.0,0
3,6,0.0,0
3,7,0.0,0
4,1,0.06,0
4,2,0.04,0
4,3,0.06,0
4,4,0.0,0
4,5,0.0,0
4,6,0.0,0
4,7,0.0,0
5,1,0.08,0
5,2,0.06,0
5,3,0.08,0
5,4,0.0,0
5,5,0.0,0
5,6,0.0,0
5,7,0.0,0
6,1,0.08,0
6,2,0.08,0
6,3,0.1,0
6,4,0.0,0
6,5,0.0,0
6,6,0.0,0
6,7,0.0,0
7,1,0.1,0
7,2,0.1,0
7,3,0.12,0
7,4,0.0,0
7,5,0.0,0
7,6,0.0,0
7,7,0.0,0
8,1,0.1,0
8,2,0.1,0
8,3,0.12,0
8,4,0.0,0
8,5,0.0,0
8,6,0.0,0
8,7,0.0,0
9,1,0.12,0
9,2,0.12,0
9,3,0.12,0
9,4,0.0,0
9,5,0.0,0
9,6,0.0,0
9,7,0.0,0
10,1,0.12,0
10,2,0.12,0
10,3,0.14,1
10,4,0.0,0
10,5,0.0,0
10,6,0.0,0
10,7,0.0,0
11,1,0.12,1
11,2,0.14,1
11,3,0.14,0
11,4,0.2,0
11,5,0.0,0
11,6,0.0,0
11,7,0.0,0
12,1,0.14,0
12,2,0.14,1
12,3,0.16,1
12,4,0.6,0
12,5,0.0,0
12,6,0.0,0
12,7,0.0,0
13,1,0.16,1
13,2,0.14,0
13,3,0.16,1
13,4,1.0,2
13,5,0.0,0
13,6,0.0,0
13,7,0.0,0
14,1,0.18,1
14,2,0.14,0
14,3,0.16,0
14,4,0.2,0
14,5,0.02,0
14,6,0.02,0
14,7,0.0,0
15,1,0.18,0
15,2,0.16,1
15,3,0.18,1
15,4,0.4,0
15,5,0.02,0
15,6,0.02,0
15,7,0.0,0
16,1,0.2,0
16,2,0.16,1
16,3,0.18,1
16,4,0.8,2
16,5,0.02,0
16,6,0.02,0
16,7,0.0,0
17,1,0.2,1
17,2,0.16,0
17,3,0.18,0
17,4,0.2,0
17,5,0.04,0
17,6,0.04,0
17,7,0.0,0
18,1,0.2,1
18,2,0.18,1
18,3,0.18,0
18,4,0.4,0
18,5,0.04,0
18,6,0.04,0
18,7,0.0,0
19,1,0.22,0
19,2,0.18,0
19,3,0.18,1
19,4,0.8,1
19,5,0.04,0
19,6,0.04,0
19,7,0.0,0
20,1,0.22,1
20,2,0.2,1
20,3,0.2,0
20,4,0.4,1
20,5,0.06,0
20,6,0.04,0
20,7,0.0,0
21,1,0.22,0
21,2,0.2,0
21,3,0.22,1
21,4,0.6,1
21,5,0.08,0
21,6,0.04,0
21,7,0.0,0
22,1,0.24,1
22,2,0.2,1
22,3,0.24,0
22,4,0.2,0
22,5,0.1,0
22,6,0.04,0
22,7,0.0,0
23,1,0.24,1
23,2,0.22,0
23,3,0.26,0
23,4,0.6,0
23,5,0.1,0
23,6,0.04,0
23,7,0.0,0
24,1,0.24,0
24,2,0.22,0
24,3,0.26,1
24,4,0.8,1
24,5,0.1,0
24,6,0.04,0
24,7,0.0,0
25,1,0.24,0
25,2,0.22,1
25,3,0.26,2
25,4,0.4,1
25,5,0.12,0
25,6,0.04,0
25,7,0.0,0
26,1,0.24,1
26,2,0.22,1
26,3,0.26,0
26,4,0.6,0
26,5,0.14,0
26,6,0.04,0
26,7,0.0,0
27,1,0.26,2
27,2,0.22,1
27,3,0.28,0
27,4,1.0,0
27,5,0.14,0
27,6,0.04,0
27,7,0.0,0
28,1,0.26,0
28,2,0.24,0
28,3,0.28,3
28,4,1.6,3
28,5,0.14,0
28,6,0.04,0
28,7,0.0,0
29,1,0.28,0
29,2,0.24,0
29,3,0.28,0
29,4,1.0,3
29,5,0.16,0
29,6,0.06,0
29,7,0.02,0
30,1,0.28,0
30,2,0.26,1
30,3,0.28,2
30,4,0.2,1
30,5,0.18,0
30,6,0.08,0
30,7,0.04,0
31,1,0.28,1
31,2,0.26,2
31,3,0.3,0
31,4,0.6,0
31,5,0.18,0
31,6,0.1,0
31,7,0.04,0
32,1,0.28,1
32,2,0.26,0
32,3,0.3,0
32,4,1.2,1
32,5,0.18,0
32,6,0.1,0
32,7,0.04,0
33,1,0.28,2
33,2,0.28,0
33,3,0.3,1
33,4,1.0,1
33,5,0.2,0
33,6,0.1,0
33,7,0.04,0
34,1,0.28,1
34,2,0.28,1
34,3,0.3,2
34,4,1.2,1
34,5,0.22,0
34,6,0.1,0
34,7,0.04,0
35,1,0.3,0
35,2,0.28,2
35,3,0.3,2
35,4,1.6,2
35,5,0.24,0
35,6,0.1,0
35,7,0.04,0
36,1,0.3,1
36,2,0.3,1
36,3,0.3,1
36,4,1.8,1
36,5,0.26,0
36,6,0.12,0
36,7,0.04,0
37,1,0.3,2
37,2,0.3,0
37,3,0.3,2
37,4,2.0,3
37,5,0.26,0
37,6,0.12,0
37,7,0.06,0
38,1,0.3,1
38,2,0.3,0
38,3,0.3,1
38,4,1.8,1
38,5,0.28,0
38,6,0.14,0
38,7,0.08,0
39,1,0.32,0
39,2,0.3,1
39,3,0.3,0
39,4,2.0,2
39,5,0.28,0
39,6,0.14,0
39,7,0.1,0
40,1,0.32,0
40,2,0.3,2
40,3,0.3,0
40,4,1.4,3
40,5,0.3,0
40,6,0.16,0
40,7,0.1,0
41,1,0.32,1
41,2,0.32,2
41,3,0.32,1
