Density,Truck Ratio,Lane Changing Probability,Slowdown Counts
0.0,0.1,0,0
0.0,0.1,0.3,0
0.0,0.1,0.5,0
0.0,0.2,0,0
0.0,0.2,0.3,0
0.0,0.2,0.5,0
0.0,0.3,0,0
0.0,0.3,0.3,0
0.0,0.3,0.5,0
0.1,0.1,0,746
0.1,0.1,0.3,709
0.1,0.1,0.5,813
0.1,0.2,0,1203
0.1,0.2,0.3,955
0.1,0.2,0.5,932
0.1,0.3,0,871
0.1,0.3,0.3,890
0.1,0.3,0.5,828
0.2,0.1,0,622
0.2,0.1,0.3,596
0.2,0.1,0.5,734
0.2,0.2,0,697
0.2,0.2,0.3,668
0.2,0.2,0.5,910
0.2,0.3,0,2431
0.2,0.3,0.3,696
0.2,0.3,0.5,706
0.30000000000000004,0.1,0,781
0.30000000000000004,0.1,0.3,601
0.30000000000000004,0.1,0.5,750
0.30000000000000004,0.2,0,616
0.30000000000000004,0.2,0.3,579
0.30000000000000004,0.2,0.5,589
0.30000000000000004,0.3,0,616
0.30000000000000004,0.3,0.3,668
0.30000000000000004,0.3,0.5,607
0.4,0.1,0,533
0.4,0.1,0.3,520
0.4,0.1,0.5,529
0.4,0.2,0,530
0.4,0.2,0.3,554
0.4,0.2,0.5,797
0.4,0.3,0,514
0.4,0.3,0.3,651
0.4,0.3,0.5,520
0.5,0.1,0,467
0.5,0.1,0.3,428
0.5,0.1,0.5,523
0.5,0.2,0,497
0.5,0.2,0.3,448
0.5,0.2,0.5,442
0.5,0.3,0,460
0.5,0.3,0.3,582
0.5,0.3,0.5,527
0.6000000000000001,0.1,0,403
0.6000000000000001,0.1,0.3,377
0.6000000000000001,0.1,0.5,390
0.6000000000000001,0.2,0,456
0.6000000000000001,0.2,0.3,464
0.6000000000000001,0.2,0.5,390
0.6000000000000001,0.3,0,505
0.6000000000000001,0.3,0.3,489
0.6000000000000001,0.3,0.5,450
0.7000000000000001,0.1,0,350
0.7000000000000001,0.1,0.3,362
0.7000000000000001,0.1,0.5,379
0.7000000000000001,0.2,0,381
0.7000000000000001,0.2,0.3,365
0.7000000000000001,0.2,0.5,421
0.7000000000000001,0.3,0,440
0.7000000000000001,0.3,0.3,465
0.7000000000000001,0.3,0.5,480
0.8,0.1,0,369
0.8,0.1,0.3,325
0.8,0.1,0.5,343
0.8,0.2,0,391
0.8,0.2,0.3,354
0.8,0.2,0.5,355
0.8,0.3,0,421
0.8,0.3,0.3,419
0.8,0.3,0.5,353
0.9,0.1,0,372
0.9,0.1,0.3,359
0.9,0.1,0.5,347
0.9,0.2,0,361
0.9,0.2,0.3,330
0.9,0.2,0.5,336
0.9,0.3,0,435
0.9,0.3,0.3,473
0.9,0.3,0.5,349
1.0,0.1,0,319
1.0,0.1,0.3,344
1.0,0.1,0.5,312
1.0,0.2,0,363
1.0,0.2,0.3,266
1.0,0.2,0.5,353
1.0,0.3,0,316
1.0,0.3,0.3,339
1.0,0.3,0.5,366
