Density,Truck Ratio,Lane Changing Probability,Passenger Throughput
0.0,0.1,0,0
0.0,0.1,0.3,0
0.0,0.1,0.5,0
0.0,0.2,0,0
0.0,0.2,0.3,0
0.0,0.2,0.5,0
0.0,0.3,0,0
0.0,0.3,0.3,0
0.0,0.3,0.5,0
0.1,0.1,0,74858
0.1,0.1,0.3,85967
0.1,0.1,0.5,71679
0.1,0.2,0,58965
0.1,0.2,0.3,61589
0.1,0.2,0.5,56316
0.1,0.3,0,68566
0.1,0.3,0.3,67379
0.1,0.3,0.5,58264
0.2,0.1,0,106019
0.2,0.1,0.3,115247
0.2,0.1,0.5,104663
0.2,0.2,0,81452
0.2,0.2,0.3,77472
0.2,0.2,0.5,89199
0.2,0.3,0,62703
0.2,0.3,0.3,87226
0.2,0.3,0.5,78895
0.30000000000000004,0.1,0,103981
0.30000000000000004,0.1,0.3,115105
0.30000000000000004,0.1,0.5,108625
0.30000000000000004,0.2,0,114657
0.30000000000000004,0.2,0.3,89245
0.30000000000000004,0.2,0.5,100173
0.30000000000000004,0.3,0,103975
0.30000000000000004,0.3,0.3,86250
0.30000000000000004,0.3,0.5,92828
0.4,0.1,0,116185
0.4,0.1,0.3,118300
0.4,0.1,0.5,112563
0.4,0.2,0,107452
0.4,0.2,0.3,112738
0.4,0.2,0.5,97496
0.4,0.3,0,101512
0.4,0.3,0.3,98711
0.4,0.3,0.5,110471
0.5,0.1,0,113353
0.5,0.1,0.3,124658
0.5,0.1,0.5,116165
0.5,0.2,0,114210
0.5,0.2,0.3,120716
0.5,0.2,0.5,120245
0.5,0.3,0,103937
0.5,0.3,0.3,116772
0.5,0.3,0.5,117478
0.6000000000000001,0.1,0,118763
0.6000000000000001,0.1,0.3,130131
0.6000000000000001,0.1,0.5,120509
0.6000000000000001,0.2,0,125067
0.6000000000000001,0.2,0.3,108291
0.6000000000000001,0.2,0.5,127703
0.6000000000000001,0.3,0,116474
0.6000000000000001,0.3,0.3,103039
0.6000000000000001,0.3,0.5,109769
0.7000000000000001,0.1,0,126729
0.7000000000000001,0.1,0.3,120897
0.7000000000000001,0.1,0.5,117653
0.7000000000000001,0.2,0,133784
0.7000000000000001,0.2,0.3,123580
0.7000000000000001,0.2,0.5,119719
0.7000000000000001,0.3,0,124963
0.7000000000000001,0.3,0.3,111785
0.7000000000000001,0.3,0.5,114687
0.8,0.1,0,129918
0.8,0.1,0.3,132768
0.8,0.1,0.5,121099
0.8,0.2,0,124319
0.8,0.2,0.3,120698
0.8,0.2,0.5,127287
0.8,0.3,0,121457
0.8,0.3,0.3,122350
0.8,0.3,0.5,120112
0.9,0.1,0,124651
0.9,0.1,0.3,144680
0.9,0.1,0.5,133661
0.9,0.2,0,124671
0.9,0.2,0.3,140679
0.9,0.2,0.5,118358
0.9,0.3,0,121245
0.9,0.3,0.3,126038
0.9,0.3,0.5,128458
1.0,0.1,0,151083
1.0,0.1,0.3,135675
1.0,0.1,0.5,136160
1.0,0.2,0,143188
1.0,0.2,0.3,128778
1.0,0.2,0.5,135154
1.0,0.3,0,146638
1.0,0.3,0.3,125477
1.0,0.3,0.5,128466
