Density,Travel Time,Frequency
0.0,0,4464
0.1,0,1091
0.1,1,28
0.1,2,24
0.1,3,27
0.1,4,34
0.1,5,28
0.1,6,52
0.1,7,41
0.1,8,64
0.1,9,46
0.1,10,48
0.1,11,60
0.1,12,46
0.1,13,40
0.1,14,61
0.1,15,63
0.1,16,60
0.1,17,45
0.1,18,67
0.1,19,63
0.1,20,49
0.1,21,38
0.1,22,81
0.1,23,54
0.1,24,63
0.1,25,60
0.1,26,54
0.1,27,39
0.1,28,70
0.1,29,55
0.1,30,52
0.1,31,44
0.1,32,54
0.1,33,54
0.1,34,49
0.1,35,60
0.1,36,52
0.1,37,44
0.1,38,64
0.1,39,48
0.1,40,75
0.1,41,56
0.1,42,42
0.1,43,40
0.1,44,36
0.1,45,47
0.1,46,46
0.1,47,42
0.1,48,57
0.1,49,44
0.1,50,32
0.1,51,36
0.1,52,41
0.1,53,33
0.1,54,42
0.1,55,41
0.1,56,46
0.1,57,43
0.1,58,42
0.1,59,32
0.1,60,33
0.1,61,31
0.1,62,36
0.1,63,46
0.1,64,27
0.1,65,42
0.1,66,36
0.1,67,36
0.1,68,29
0.1,69,16
0.1,70,22
0.1,71,16
0.1,72,22
0.1,73,21
0.1,74,19
0.1,75,15
0.1,76,19
0.1,77,18
0.1,78,20
0.1,79,17
0.1,80,9
0.1,81,11
0.1,82,4
0.1,83,7
0.1,84,6
0.1,85,6
0.1,86,5
0.1,87,4
0.1,88,1
0.1,89,1
0.1,90,1
0.1,91,1
0.1,92,4
0.1,93,1
0.1,95,1
0.2,0,667
0.2,1,35
0.2,2,47
0.2,3,35
0.2,4,47
0.2,5,47
0.2,6,30
0.2,7,53
0.2,8,56
0.2,9,43
0.2,10,75
0.2,11,65
0.2,12,70
0.2,13,51
0.2,14,41
0.2,15,47
0.2,16,78
0.2,17,54
0.2,18,61
0.2,19,48
0.2,20,69
0.2,21,74
0.2,22,56
0.2,23,60
0.2,24,55
0.2,25,59
0.2,26,72
0.2,27,58
0.2,28,64
0.2,29,55
0.2,30,50
0.2,31,55
0.2,32,48
0.2,33,36
0.2,34,62
0.2,35,43
0.2,36,53
0.2,37,53
0.2,38,46
0.2,39,46
0.2,40,54
0.2,41,32
0.2,42,57
0.2,43,59
0.2,44,55
0.2,45,51
0.2,46,42
0.2,47,37
0.2,48,41
0.2,49,36
0.2,50,57
0.2,51,43
0.2,52,45
0.2,53,31
0.2,54,34
0.2,55,33
0.2,56,42
0.2,57,37
0.2,58,39
0.2,59,32
0.2,60,53
0.2,61,27
0.2,62,34
0.2,63,42
0.2,64,38
0.2,65,41
0.2,66,41
0.2,67,49
0.2,68,36
0.2,69,31
0.2,70,31
0.2,71,44
0.2,72,38
0.2,73,26
0.2,74,34
0.2,75,25
0.2,76,34
0.2,77,23
0.2,78,29
0.2,79,21
0.2,80,23
0.2,81,17
0.2,82,16
0.2,83,14
0.2,84,17
0.2,85,8
0.2,86,11
0.2,87,8
0.2,88,11
0.2,89,15
0.2,90,12
0.2,91,3
0.2,92,2
0.2,93,5
0.2,94,2
0.2,95,3
0.2,98,1
0.30000000000000004,0,554
0.30000000000000004,1,26
0.30000000000000004,2,26
0.30000000000000004,3,41
0.30000000000000004,4,38
0.30000000000000004,5,39
0.30000000000000004,6,53
0.30000000000000004,7,47
0.30000000000000004,8,45
0.30000000000000004,9,57
0.30000000000000004,10,68
0.30000000000000004,11,75
0.30000000000000004,12,75
0.30000000000000004,13,55
0.30000000000000004,14,56
0.30000000000000004,15,45
0.30000000000000004,16,59
0.30000000000000004,17,70
0.30000000000000004,18,70
0.30000000000000004,19,57
0.30000000000000004,20,60
0.30000000000000004,21,52
0.30000000000000004,22,48
0.30000000000000004,23,53
0.30000000000000004,24,50
0.30000000000000004,25,59
0.30000000000000004,26,66
0.30000000000000004,27,49
0.30000000000000004,28,60
0.30000000000000004,29,51
0.30000000000000004,30,54
0.30000000000000004,31,68
0.30000000000000004,32,49
0.30000000000000004,33,46
0.30000000000000004,34,41
0.30000000000000004,35,49
0.30000000000000004,36,55
0.30000000000000004,37,51
0.30000000000000004,38,47
0.30000000000000004,39,49
0.30000000000000004,40,71
0.30000000000000004,41,54
0.30000000000000004,42,51
0.30000000000000004,43,56
0.30000000000000004,44,53
0.30000000000000004,45,41
0.30000000000000004,46,45
0.30000000000000004,47,39
0.30000000000000004,48,47
0.30000000000000004,49,34
0.30000000000000004,50,39
0.30000000000000004,51,42
0.30000000000000004,52,49
0.30000000000000004,53,50
0.30000000000000004,54,50
0.30000000000000004,55,40
0.30000000000000004,56,45
0.30000000000000004,57,47
0.30000000000000004,58,35
0.30000000000000004,59,36
0.30000000000000004,60,49
0.30000000000000004,61,48
0.30000000000000004,62,52
0.30000000000000004,63,35
0.30000000000000004,64,42
0.30000000000000004,65,43
0.30000000000000004,66,48
0.30000000000000004,67,39
0.30000000000000004,68,36
0.30000000000000004,69,38
0.30000000000000004,70,29
0.30000000000000004,71,30
0.30000000000000004,72,32
0.30000000000000004,73,40
0.30000000000000004,74,37
0.30000000000000004,75,25
0.30000000000000004,76,41
0.30000000000000004,77,19
0.30000000000000004,78,35
0.30000000000000004,79,28
0.30000000000000004,80,29
0.30000000000000004,81,28
0.30000000000000004,82,22
0.30000000000000004,83,25
0.30000000000000004,84,12
0.30000000000000004,85,21
0.30000000000000004,86,17
0.30000000000000004,87,15
0.30000000000000004,88,11
0.30000000000000004,89,11
0.30000000000000004,90,12
0.30000000000000004,91,7
0.30000000000000004,92,8
0.30000000000000004,93,3
0.30000000000000004,94,1
0.30000000000000004,95,3
0.30000000000000004,96,2
0.30000000000000004,97,1
0.4,0,508
0.4,1,34
0.4,2,46
0.4,3,40
0.4,4,39
0.4,5,49
0.4,6,51
0.4,7,61
0.4,8,47
0.4,9,50
0.4,10,40
0.4,11,54
0.4,12,46
0.4,13,61
0.4,14,46
0.4,15,45
0.4,16,66
0.4,17,48
0.4,18,44
0.4,19,57
0.4,20,49
0.4,21,52
0.4,22,66
0.4,23,52
0.4,24,66
0.4,25,50
0.4,26,49
0.4,27,63
0.4,28,41
0.4,29,61
0.4,30,42
0.4,31,52
0.4,32,41
0.4,33,50
0.4,34,57
0.4,35,46
0.4,36,45
0.4,37,31
0.4,38,62
0.4,39,59
0.4,40,50
0.4,41,45
0.4,42,56
0.4,43,59
0.4,44,43
0.4,45,46
0.4,46,48
0.4,47,45
0.4,48,56
0.4,49,44
0.4,50,51
0.4,51,44
0.4,52,42
0.4,53,43
0.4,54,43
0.4,55,61
0.4,56,47
0.4,57,48
0.4,58,38
0.4,59,53
0.4,60,43
0.4,61,35
0.4,62,43
0.4,63,46
0.4,64,40
0.4,65,34
0.4,66,47
0.4,67,42
0.4,68,41
0.4,69,31
0.4,70,34
0.4,71,40
0.4,72,36
0.4,73,39
0.4,74,42
0.4,75,31
0.4,76,40
0.4,77,36
0.4,78,28
0.4,79,35
0.4,80,29
0.4,81,26
0.4,82,26
0.4,83,34
0.4,84,17
0.4,85,25
0.4,86,22
0.4,87,16
0.4,88,17
0.4,89,15
0.4,90,14
0.4,91,6
0.4,92,7
0.4,93,4
0.4,96,5
0.5,0,447
0.5,1,31
0.5,2,36
0.5,3,56
0.5,4,34
0.5,5,66
0.5,6,42
0.5,7,65
0.5,8,42
0.5,9,55
0.5,10,53
0.5,11,51
0.5,12,60
0.5,13,50
0.5,14,46
0.5,15,50
0.5,16,63
0.5,17,50
0.5,18,49
0.5,19,51
0.5,20,55
0.5,21,57
0.5,22,65
0.5,23,45
0.5,24,33
0.5,25,58
0.5,26,39
0.5,27,46
0.5,28,63
0.5,29,54
0.5,30,56
0.5,31,46
0.5,32,56
0.5,33,41
0.5,34,50
0.5,35,41
0.5,36,48
0.5,37,47
0.5,38,48
0.5,39,45
0.5,40,50
0.5,41,41
0.5,42,54
0.5,43,55
0.5,44,44
0.5,45,46
0.5,46,59
0.5,47,45
0.5,48,48
0.5,49,55
0.5,50,40
0.5,51,59
0.5,52,39
0.5,53,52
0.5,54,48
0.5,55,52
0.5,56,35
0.5,57,62
0.5,58,38
0.5,59,42
0.5,60,42
0.5,61,42
0.5,62,43
0.5,63,33
0.5,64,61
0.5,65,31
0.5,66,29
0.5,67,31
0.5,68,54
0.5,69,39
0.5,70,39
0.5,71,49
0.5,72,36
0.5,73,44
0.5,74,51
0.5,75,30
0.5,76,30
0.5,77,32
0.5,78,37
0.5,79,40
0.5,80,35
0.5,81,30
0.5,82,30
0.5,83,21
0.5,84,16
0.5,85,28
0.5,86,21
0.5,87,21
0.5,88,23
0.5,89,17
0.5,90,14
0.5,91,10
0.5,92,11
0.5,93,8
0.5,94,6
0.5,95,5
0.5,96,2
0.5,97,2
0.5,98,2
