Density,Waiting Time,Frequency
0.0,1,39
0.0,2,47
0.0,3,40
0.0,4,46
0.0,5,44
0.0,6,48
0.0,7,37
0.0,8,46
0.0,9,46
0.0,10,36
0.0,11,46
0.0,12,42
0.0,13,42
0.0,14,53
0.0,15,53
0.0,16,42
0.0,17,48
0.0,18,46
0.0,19,45
0.0,20,49
0.0,21,52
0.0,22,40
0.0,23,39
0.0,24,42
0.0,25,41
0.0,26,50
0.0,27,41
0.0,28,38
0.0,29,46
0.0,30,47
0.0,31,54
0.0,32,42
0.0,33,33
0.0,34,41
0.0,35,43
0.0,36,52
0.0,37,52
0.0,38,56
0.0,39,44
0.0,40,50
0.0,41,37
0.0,42,38
0.0,43,41
0.0,44,41
0.0,45,53
0.0,46,40
0.0,47,45
0.0,48,42
0.0,49,56
0.0,50,46
0.0,51,44
0.0,52,41
0.0,53,40
0.0,54,45
0.0,55,41
0.0,56,41
0.0,57,41
0.0,58,27
0.0,59,53
0.0,60,46
0.0,61,33
0.0,62,49
0.0,63,58
0.0,64,53
0.0,65,46
0.0,66,30
0.0,67,49
0.0,68,50
0.0,69,44
0.0,70,49
0.0,71,46
0.0,72,44
0.0,73,41
0.0,74,55
0.0,75,43
0.0,76,37
0.0,77,39
0.0,78,38
0.0,79,46
0.0,80,40
0.0,81,51
0.0,82,35
0.0,83,46
0.0,84,50
0.0,85,37
0.0,86,49
0.0,87,41
0.0,88,45
0.0,89,33
0.0,90,63
0.0,91,49
0.0,92,45
0.0,93,52
0.0,94,50
0.0,95,47
0.0,96,45
0.0,97,55
0.0,98,48
0.0,99,41
0.0,100,36
0.1,1,191
0.1,2,106
0.1,3,89
0.1,4,111
0.1,5,111
0.1,6,108
0.1,7,117
0.1,8,94
0.1,9,141
0.1,10,117
0.1,11,114
0.1,12,112
0.1,13,102
0.1,14,111
0.1,15,117
0.1,16,103
0.1,17,120
0.1,18,111
0.1,19,105
0.1,20,110
0.1,21,106
0.1,22,90
0.1,23,91
0.1,24,82
0.1,25,85
0.1,26,90
0.1,27,79
0.1,28,80
0.1,29,86
0.1,30,71
0.1,31,69
0.1,32,82
0.1,33,57
0.1,34,63
0.1,35,77
0.1,36,49
0.1,37,71
0.1,38,48
0.1,39,49
0.1,40,49
0.1,41,47
0.1,42,37
0.1,43,51
0.1,44,34
0.1,45,46
0.1,46,41
0.1,47,31
0.1,48,31
0.1,49,28
0.1,50,26
0.1,51,21
0.1,52,25
0.1,53,29
0.1,54,25
0.1,55,14
0.1,56,21
0.1,57,12
0.1,58,11
0.1,59,13
0.1,60,16
0.1,61,12
0.1,62,15
0.1,63,12
0.1,64,9
0.1,65,13
0.1,66,12
0.1,67,10
0.1,68,11
0.1,69,6
0.1,70,6
0.1,71,6
0.1,72,5
0.1,73,3
0.1,74,5
0.1,75,4
0.1,76,3
0.1,77,4
0.1,78,3
0.1,79,4
0.1,80,5
0.1,81,2
0.1,82,6
0.1,83,3
0.1,84,4
0.1,85,2
0.1,86,4
0.1,87,5
0.1,88,4
0.1,89,4
0.1,90,3
0.1,91,2
0.1,92,2
0.1,93,3
0.1,94,3
0.1,95,2
0.1,96,2
0.1,97,2
0.1,98,1
0.1,99,3
0.2,1,268
0.2,2,135
0.2,3,191
0.2,4,161
0.2,5,148
0.2,6,169
0.2,7,155
0.2,8,146
0.2,9,184
0.2,10,162
0.2,11,159
0.2,12,141
0.2,13,151
0.2,14,139
0.2,15,140
